#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  19500      5.42e+00    6.24e+00      5.15e-03    2.68e-01      1.73e-01    1.98e-01    4.9e-04
  19600      3.73e+00    4.40e+00      3.27e-01    2.55e-01      1.18e-01    1.39e-01    4.9e-04
  19700      4.38e+00    7.58e+00      5.85e-03    4.14e-01      1.39e-01    2.41e-01    4.9e-04
  19800      1.30e+01    4.76e+00      2.58e-01    1.77e-01      4.14e-01    1.51e-01    4.9e-04
  19900      6.10e+00    5.80e+00      4.30e-01    3.73e-01      1.93e-01    1.84e-01    4.9e-04
  20000      7.49e+00    5.51e+00      2.71e-02    4.50e-01      2.39e-01    1.75e-01    4.9e-04
  20100      1.02e+01    2.56e+00      7.53e-02    2.08e-02      3.26e-01    8.18e-02    4.9e-04
  20200      4.46e+00    5.19e+00      1.86e-02    1.11e+00      1.43e-01    1.63e-01    4.9e-04
  20300      6.07e+00    4.85e+00      1.71e-01    9.28e-02      1.93e-01    1.55e-01    4.9e-04
  20400      5.34e+00    5.69e+00      3.19e-01    5.39e-01      1.70e-01    1.80e-01    4.9e-04
  20500      6.78e+00    6.26e+00      1.05e-01    7.49e-03      2.16e-01    2.00e-01    4.9e-04
  20600      5.87e+00    1.07e+01      4.56e-02    6.42e-01      1.87e-01    3.38e-01    4.9e-04
  20700      5.33e+00    2.89e+00      4.54e-02    1.69e-01      1.70e-01    9.16e-02    4.9e-04
  20800      4.06e+00    6.19e+00      1.91e-01    7.30e-02      1.29e-01    1.98e-01    4.9e-04
  20900      2.58e+00    5.81e+00      1.86e-02    1.10e-01      8.22e-02    1.85e-01    4.9e-04
  21000      2.80e+00    8.28e+00      5.54e-02    7.01e-01      8.93e-02    2.62e-01    4.9e-04
  21100      1.59e+01    7.44e+00      4.57e-01    3.39e-02      5.07e-01    2.37e-01    4.9e-04
  21200      5.37e+00    3.69e+00      1.60e-01    1.54e-01      1.71e-01    1.17e-01    4.9e-04
  21300      7.46e+00    5.88e+00      8.06e-02    3.31e-02      2.38e-01    1.88e-01    4.9e-04
  21400      2.57e+00    6.60e+00      1.18e-01    2.69e-01      8.17e-02    2.11e-01    4.9e-04
  21500      3.72e+00    6.08e+00      6.38e-01    2.98e-01      1.05e-01    1.94e-01    4.9e-04
  21600      5.20e+00    4.62e+00      2.47e-01    7.31e-02      1.66e-01    1.47e-01    4.9e-04
  21700      5.16e+00    4.40e+00      2.20e-02    2.40e-01      1.65e-01    1.40e-01    4.9e-04
  21800      7.18e+00    6.81e+00      7.29e-02    2.98e-01      2.29e-01    2.17e-01    4.9e-04
  21900      7.19e+00    5.35e+00      1.90e-01    8.69e-02      2.30e-01    1.71e-01    4.9e-04
  22000      4.95e+00    1.03e+01      5.98e-01    3.71e-01      1.57e-01    3.28e-01    4.9e-04
  22100      1.24e+01    1.01e+01      2.68e-01    3.87e-01      3.97e-01    3.23e-01    4.9e-04
  22200      5.26e+00    5.39e+00      1.69e-01    4.16e-01      1.68e-01    1.71e-01    4.9e-04
  22300      5.35e+00    5.32e+00      3.44e-03    4.80e-01      1.71e-01    1.67e-01    4.9e-04
  22400      4.73e+00    4.62e+00      8.45e-01    6.15e-02      1.49e-01    1.47e-01    4.9e-04
  22500      5.79e+00    4.26e+00      2.27e-01    1.92e-01      1.84e-01    1.35e-01    4.9e-04
  22600      1.15e+01    5.65e+00      2.51e-01    1.55e-01      3.68e-01    1.80e-01    4.9e-04
  22700      1.87e+01    4.73e+00      2.47e-01    1.52e-01      5.98e-01    1.51e-01    4.9e-04
  22800      7.46e+00    5.44e+00      7.20e-01    8.08e-02      2.35e-01    1.74e-01    4.9e-04
  22900      2.23e+00    4.85e+00      2.77e-02    3.49e-02      7.11e-02    1.55e-01    4.9e-04
  23000      9.17e+00    6.56e+00      6.70e-01    3.62e-01      2.90e-01    2.09e-01    4.9e-04
  23100      4.49e+00    4.29e+00      1.58e-01    1.58e-01      1.43e-01    1.37e-01    4.9e-04
  23200      5.69e+00    5.44e+00      2.07e-01    1.16e-01      1.82e-01    1.73e-01    4.9e-04
  23300      7.49e+00    3.50e+00      4.63e-02    1.38e-01      2.39e-01    1.12e-01    4.9e-04
  23400      2.14e+00    4.39e+00      5.17e-02    1.38e-01      6.83e-02    1.40e-01    4.9e-04
  23500      7.15e+00    5.00e+00      4.30e-02    1.09e-01      2.28e-01    1.60e-01    4.9e-04
  23600      8.23e+00    5.87e+00      5.74e-02    1.12e-01      2.63e-01    1.87e-01    4.9e-04
  23700      8.07e+00    9.52e+00      8.31e-02    6.63e-01      2.58e-01    3.03e-01    4.9e-04
  23800      5.91e+00    6.07e+00      6.55e-01    8.80e-02      1.84e-01    1.94e-01    4.9e-04
  23900      3.18e+00    5.30e+00      4.25e-01    2.29e-01      9.93e-02    1.69e-01    4.9e-04
